ts," -0.0025362912490726336]""","[0.0, 1.05, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[-0.035370241325790586, 0.08523480994707626, 0.005741605466945342]","[-0.04816289027004955, -1.1080236363678608, 0.01042044004574954]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035370241325790586, 0.0841267863107084, 0.005741605466945342]","[-0.04816289027004955, -1.1080236363678608, 0.01042044004574954]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035421273381362535, 0.0841267863107084, 0.005741605466945342]","[-0.051032055571949286, -1.0913365964902166, 0.010879341701384299]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035421273381362535, 0.0841267863107084, 0.005752484808646726]","[-0.051032055571949286, -1.0913365964902166, 0.010879341701384299]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.035421273381362535, 0.08303544971421818, 0.005752484808646726]","[-0.051032055571949286, -1.0913365964902166, 0.010879341701384299]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03547515996005838, 0.08303544971421818, 0.005752484808646726]","[-0.053886578695844234, -1.0751421447768443, 0.011354582900263525]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03547515996005838, 0.08303544971421818, 0.00576383939154699]","[-0.053886578695844234, -1.0751421447768443, 0.011354582900263525]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03547515996005838, 0.08196030756944134, 0.00576383939154699]","[-0.053886578695844234, -1.0751421447768443, 0.011354582900263525]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03553189601070337, 0.08196030756944134, 0.00576383939154699]","[-0.05673605064498988, -1.0583461989873837, 0.01182776273450821]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03553189601070337, 0.08196030756944134, 0.005775667154281498]","[-0.05673605064498988, -1.0583461989873837, 0.01182776273450821]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03553189601070337, 0.08090196137045395, 0.005775667154281498]","[-0.05673605064498988, -1.0583461989873837, 0.01182776273450821]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03559146281114733, 0.08090196137045395, 0.005775667154281498]","[-0.05956680044395812, -1.0412958906016734, 0.01229746417515977]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
"[-0.03559146281114733, 0.08090196137045395, 0.005787964618456658]","[-0.05956680044395812, -1.0412958906016734, 0.01229746417515977]","[0.0, 1.05, 0.0]",0.0,0.0,0.0,0.0
