ts," 0.013057258965488289]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.08992162298761898, -0.027683976637676296, 0.002227309370302468]","[-1.0428156873727445, -0.0710187245398751, 0.01758343532199313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08992162298761898, -0.027756336793312544, 0.002227309370302468]","[-1.0265416982221525, -0.07236015563624743, 0.017707849972559402]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08992162298761898, -0.027756336793312544, 0.0022450172202750276]","[-1.0265416982221525, -0.07236015563624743, 0.017707849972559402]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08889508128939683, -0.027756336793312544, 0.0022450172202750276]","[-1.0265416982221525, -0.07236015563624743, 0.017707849972559402]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08889508128939683, -0.027830006142265322, 0.0022450172202750276]","[-1.0105865377098289, -0.0736693489527783, 0.01782946379705894]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08889508128939683, -0.027830006142265322, 0.0022628466840720865]","[-1.0105865377098289, -0.0736693489527783, 0.01782946379705894]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.087884494751687, -0.027830006142265322, 0.0022628466840720865]","[-1.0105865377098289, -0.0736693489527783, 0.01782946379705894]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.087884494751687, -0.027904958625222343, 0.0022628466840720865]","[-0.9951967396102657, -0.07495248295702125, 0.017938021193154765]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.087884494751687, -0.027904958625222343, 0.0022807847052652413]","[-0.9951967396102657, -0.07495248295702125, 0.017938021193154765]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08688929801207673, -0.027904958625222343, 0.0022807847052652413]","[-0.9951967396102657, -0.07495248295702125, 0.017938021193154765]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08688929801207673, -0.027981165530982458, 0.0022807847052652413]","[-0.9794936473351001, -0.07620690576011502, 0.01804538014269332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08688929801207673, -0.027981165530982458, 0.0022988300854079346]","[-0.9794936473351001, -0.07620690576011502, 0.01804538014269332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08590980436474163, -0.027981165530982458, 0.0022988300854079346]","[-0.9794936473351001, -0.07620690576011502, 0.01804538014269332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08590980436474163, -0.028058589994342912, 0.0022988300854079346]","[-0.9637378336430635, -0.07742446336045372, 0.0181512862601858]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08590980436474163, -0.028058589994342912, 0.0023169813716681204]","[-0.9637378336430635, -0.07742446336045372, 0.0181512862601858]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08494606653109857, -0.028058589994342912, 0.0023169813716681204]","[-0.9637378336430635, -0.07742446336045372, 0.0181512862601858]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08494606653109857, -0.028137197337303108, 0.0023169813716681204]","[-0.9481828205699927, -0.07860734296019634, 0.018256090307029998]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08494606653109857, -0.028137197337303108, 0.0023352374619751504]","[-0.9481828205699927, -0.07860734296019634, 0.018256090307029998]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08399788371052858, -0.028137197337303108, 0.0023352374619751504]","[-0.9481828205699927, -0.07860734296019634, 0.018256090307029998]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
