ts," -0.005281976725335369]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.0915546584188212, 0.00826602067112978, -0.0404670323453278]","[-1.0278491400226435, 0.0023428832933262977, -0.0402573323378258]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0915546584188212, 0.008268363554423105, -0.0404670323453278]","[-1.0278491400226435, 0.0023428832933262977, -0.0402573323378258]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09052680927879855, 0.008268363554423105, -0.0404670323453278]","[-1.0278491400226435, 0.0023428832933262977, -0.0402573323378258]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09052680927879855, 0.008268363554423105, -0.04050809651774637]","[-1.0120612942361578, 0.0020839255206270973, -0.041064172418565914]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.09052680927879855, 0.008270447479943733, -0.04050809651774637]","[-1.0120612942361578, 0.0020839255206270973, -0.041064172418565914]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0895147479845624, 0.008270447479943733, -0.04050809651774637]","[-1.0120612942361578, 0.0020839255206270973, -0.041064172418565914]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0895147479845624, 0.008270447479943733, -0.040549928571142986]","[-0.9968310320823681, 0.001838889888375328, -0.04183205339661905]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0895147479845624, 0.008272286369832108, -0.040549928571142986]","[-0.9968310320823681, 0.001838889888375328, -0.04183205339661905]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08851791695248003, 0.008272286369832108, -0.040549928571142986]","[-0.9968310320823681, 0.001838889888375328, -0.04183205339661905]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08851791695248003, 0.008272286369832108, -0.04059248711266214]","[-0.9812914018212243, 0.0015851598269209233, -0.042558541519154]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08851791695248003, 0.008273871529659029, -0.04059248711266214]","[-0.9812914018212243, 0.0015851598269209233, -0.042558541519154]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0875366255506588, 0.008273871529659029, -0.04059248711266214]","[-0.9812914018212243, 0.0015851598269209233, -0.042558541519154]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0875366255506588, 0.008273871529659029, -0.040635726523502606]","[-0.9657156578594811, 0.0013230091587858317, -0.043239410840466286]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0875366255506588, 0.008275194538817815, -0.040635726523502606]","[-0.9657156578594811, 0.0013230091587858317, -0.043239410840466286]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08657090989279932, 0.008275194538817815, -0.040635726523502606]","[-0.9657156578594811, 0.0013230091587858317, -0.043239410840466286]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08657090989279932, 0.008275194538817815, -0.04067960490126842]","[-0.9503447553133038, 0.0010538474453855584, -0.043878377765815824]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08657090989279932, 0.0082762483862632, -0.04067960490126842]","[-0.9503447553133038, 0.0010538474453855584, -0.043878377765815824]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08562056513748602, 0.0082762483862632, -0.04067960490126842]","[-0.9503447553133038, 0.0010538474453855584, -0.043878377765815824]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08562056513748602, 0.0082762483862632, -0.0407240768439979]","[-0.9354070064908071, 0.0007769141829316872, -0.044471942729475133]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08562056513748602, 0.008277025300446132, -0.0407240768439979]","[-0.9354070064908071, 0.0007769141829316872, -0.044471942729475133]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.08468515813099521, 0.008277025300446132, -0.0407240768439979]","[-0.9354070064908071, 0.0007769141829316872, -0.044471942729475133]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
